Label,Sentence
Full information clause for categories,"If you live in a country in the European Economic Area ( which  includes the European Union ) , and any other included country or  territory ( collectively referred to as the European Region ) , your  Services are provided by WhatsApp Ireland Limited ( "" WhatsApp Ireland ""  ) , which is also the data controller responsible for your information  when you use our Services ."
Full information clause for categories,"If you live in any other country , except those in the European Region  , your Services are provided by WhatsApp Inc. , which is also your data  controller responsible for your information when you use our Services ."
Insufficient information clause for categories,"WhatsApp must receive or collect some information to operate , provide  , improve , understand , customize , support , and market our Services ,  including when you install , access , or use our Services ."
Insufficient information clause for categories,You provide your mobile phone number and basic information ( including a profile name ) to create a WhatsApp account .
Full information clause for categories,"You provide us , all in accordance with applicable laws , the phone  numbers in your mobile address book on a regular basis , including those  of both the users of our Services and your other contacts ."
Full information clause for categories,You may provide us an email address .
Insufficient information clause for categories,"You may also add other information to your account , such as a profile picture and about information ."
Full information clause for categories,We do not retain your messages in the ordinary course of providing our Services to you .
Full information clause for categories,"Once your messages ( including your chats , photos , videos , voice  messages , files , and share location information ) are delivered , they  are deleted from our servers ."
Full information clause for categories,"If a message can not be delivered immediately ( for example , if you  are offline ) , we may keep it on our servers for up to 30 days as we  try to deliver it ."
Full information clause for categories,"If a message is still undelivered after 30 days , we delete it ."
Unclear language clause,"To improve performance and deliver media messages more efficiently ,  such as when many people are sharing a popular photo or video , we may  retain that content on our servers for a longer period of time ."
Full information clause for categories,"To help you organize how you communicate with others , we may help you  identify your contacts who also use WhatsApp , and you can create ,  join , or get added to groups and broadcast lists , and such groups and  lists get associated with your account information ."
Full information clause for categories,"If you use our payment services available in your country , we process  purchase and transaction information as described in the applicable  Payments Privacy Policy ."
Full information clause for categories,"You may provide us with information related to your use of our  Services , including copies of your messages , and how to contact you so  we can provide you customer support ."
Insufficient information clause for categories,"We collect information about your activity on our Services , like service-related , diagnostic , and performance information ."
Insufficient information clause for categories,"This includes information about your activity ( including how you use  our Services , your Services settings , how you interact with others  using our Services , and the time , frequency , and duration of your  activities and interactions ) , log files , and diagnostic , crash ,  website , and performance logs and reports ."
Insufficient information clause for categories,"This also includes information about when you registered to use our  Services , the features you use like our messaging , calling , Status ,  or groups features , profile photo , about information , whether you are  online , when you last used our Services ( your "" last seen "" ) , and  when you last updated your about information ."
Insufficient information clause for categories,"We collect device and connection-specific information when you install , access , or use our Services ."
Insufficient information clause for categories,"This includes information like hardware model , operating system  information , battery level , signal strength , app version , browser  information , and mobile network , connection information including  phone number , mobile operator or ISP , language and time zone , and IP ,  device operations information , and identifiers like device identifiers  ( including identifiers unique to Facebook Company Products associated  with the same device or account ) ."
Full information clause for categories,"We collect device location information if you use our location  features , like when you choose to share your location with your  contacts , view locations nearby or those others have shared with you ,  and the like , and for diagnostics and troubleshooting purposes such as  if you are having trouble with our app 's location features ."
Insufficient information clause for categories,We receive information about you from other users and businesses .
Insufficient information clause for categories,"For example , when other users or businesses you know use our Services  , they may provide your phone number , name , and other information (  like information from their mobile address book or in the case of  businesses , additional information about you such as unique identifiers  ) , just as you may provide theirs , or they may send you a message ,  send messages to groups to which you belong , or call you ."
Insufficient information clause for categories,"We require each of these users and businesses to have lawful rights to  collect , use , and share your information before providing any  information to us ."
Insufficient information clause for categories,Businesses you interact with using WhatsApp provide us information about their interactions with you .
Unclear language clause,"We work with third-party service providers and the Facebook Companies  to help us operate , provide , improve , understand , customize ,  support , and market our Services ."
Unclear language clause,"These companies may provide us information about you in certain  circumstances ; for example , app stores may provide us reports to help  us diagnose and fix service issues ."
Insufficient information clause for categories,"If you use our Services with such third-party services or Facebook  Company Products , we may receive information about you from them ; for  example , if you use the WhatsApp share button on a news service to  share a news article with your WhatsApp contacts , groups , or broadcast  lists on our Services , or if you choose to access our Services through  a mobile carrier 's or device provider 's promotion of our Services ."
Full information clause for categories,"We use the information we have ( subject to choices you make ) to  operate , provide , improve , understand , customize , support , and  market our Services ."
Insufficient information clause for categories,"We use the information we have to operate and provide our Services ,  including providing customer support , and improving , fixing , and  customizing our Services ."
Insufficient information clause for categories,"We understand how people use our Services and analyze and use the  information we have to evaluate and improve our Services , research ,  develop , and test new services and features , and conduct  troubleshooting activities ."
Full information clause for categories,We also use your information to respond to you when you contact us .
Full information clause for categories,"We verify accounts and activity , and promote safety and security on  and off our Services , such as by investigating suspicious activity or  violations of our Terms , and to ensure our Services are being used  legally ."
Full information clause for categories,We use the information we have to communicate with you about our  Services and features and let you know about our terms and policies and  other important updates .
Problematic processing clause for categories,We may provide you marketing for our Services and those of the Facebook Companies .
Problematic processing clause for categories,Messages you may receive containing marketing could include an offer for something that might interest you .
Problematic processing clause for categories,"We do not want you to have a spammy experience ; as with all of your  messages , you can manage these communications , and we will honor the  choices you make ."
Problematic processing clause for categories,"We help businesses who use WhatsApp measure the effectiveness and  distribution of their services and messages , and understand how people  interact with them on our Services ."
